"recipient_id","answer"
1,0
2,0
3,NULL
4,0
5,0
6,0
7,NULL
8,NULL
9,NULL
10,NULL
11,0
12,NULL
13,NULL
14,1
15,0
16,NULL
17,NULL
18,0
19,NULL
20,1
21,0
22,NULL
23,0
24,0
25,0
26,0
27,1
28,1
29,NULL
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,NULL
40,0
41,0
42,NULL
43,0
44,0
45,1
46,0
47,0
48,1
49,0
50,NULL
51,0
52,0
53,0
54,1
55,0
56,NULL
57,0
58,0
59,NULL
60,0
61,1
62,0
63,0
64,1
65,1
66,1
67,0
68,1
69,NULL
70,NULL
71,0
72,0
73,1
74,0
75,1
76,1
77,NULL
78,0
79,NULL
80,NULL
81,0
82,1
83,0
84,0
85,1
86,1
87,0
88,1
89,0
90,0
91,NULL
92,NULL
93,0
94,NULL
95,NULL
96,1
97,NULL
98,NULL
99,NULL
100,NULL
101,NULL
102,NULL
103,0
104,NULL
105,NULL
106,1
107,NULL
108,0
109,NULL
110,NULL
